Marke,Modell,Beschreibung,Gewicht
Astra,HD 8652 8x6,Fahrgestell ohne Pritsche,12200
Bedford,MJ,mit Pritsche,4850
Bucher,Duro II 6x6,"Ohne Aufbau und ohne Ersatzrad mit 335/80R20 auf 11/20""-Stahlfelgen laut Handbuch 4500 kg, selbst gewogen 4350 kg. Auf 275/80R20 laut Handbuch 4300, selbst gewogen 4150 kg",4500
Bucher,Duro 4x4 L,"Ohne Aufbau und ohne Ersatzrad mit 335/80R20 auf 11/20""-Stahlfelgen laut Handbuch 3850 kg. Auf 275/80R20 laut Handbuch 3700",3850
Bucher,Duro 4x4 S,"Ohne Aufbau und ohne Ersatzrad mit 335/80R20 auf 11/20""-Stahlfelgen laut Handbuch 3800 kg. Auf 275/80R20 laut Handbuch 3650",3800
DAF,Leyland T244 4x4,Fahrgestell mit Originalshelter (entkernt & ausgebaut),7800
DAF,Leyland T244 4x4,"Fahrgestell mit Zwischenrahmen, 300-l-Tank und 2 Pers.",5380
DAF,Leyland T244 4x4,Pritsche ohne Bordwände und Plane,5800
DAF,Leyland T244 4x4,ohne Pritsche,4950
Iveco,ACM 80/90 (Fiat/Iveco),"Fahrgestell 4x4 14,5x20 ohne Pritsche/Hilfsrahmen",4400
Iveco,ACM 80/90 (Fiat/Iveco),"Fahrgestell 4x4 14,5x20 mit Pritsche/Hilfsrahmen",5600
Iveco,Daily C70/180 4x4,"180 PS Automatik, Radstand 3,78 m, voller Tank, Fahrer, Rahmenheckverlängerung 35 cm, Standheizung – gewogen. Gesamtgewicht 7000 kg, AHK Kugel 3500 kg",3150
Iveco-Magirus,75-16AW,"Singlecab, ohne Hilfsrahmen, 335/80R20 MPT auf Stahlfelge, 70 l Diesel, Radstand 3100",3710
Iveco-Magirus,75-16AW,"ohne Hilfsrahmen, mit Seilwinde",4170
Iveco-Magirus,75-16AW,"Singlecab, 12.5R20 MPT auf Stahlfelge, 3200 mm Radstand, 300 l Diesel, Alu-Staukästen, Stahl-Zwischenrahmen für FM2, Zeppelin FM2 mit kompletter Technik aber ohne fertigen Innenausbau",5950
Iveco-Magirus,75-16AW,"Doppelcab, 335/80R20 MPT auf Stahlfelge, 80 l Diesel, DoKa gedämmt und zum SchlaZi umgebaut, Koffer komplett leer, ohne Vorbaupumpe",5100
Iveco-Magirus,90-16AW,"Radstand 3,5 m, große Doka, 4x Conti 335/80R20 MPT auf Stahlfelge, leichter Zwischenrahmen für FMI, DOKA leer bis auf Fahrersitz/Beifahrer-Doppelsitzbank, ohne Dachhimmel, keine Sitzbänke hinten (nur Gestell), ca. 100 l Diesel, ohne Fahrer",4850
Iveco-Magirus,90-16AW,"große Doka, THW-Koffer",6120
Iveco-Magirus,90-16AW,"große Doka, THW-Koffer, orig. Einbauten/Regale etwas ausgebaut – Gang durch hintere Klappe freigelegt, ohne Werkzeug und Schubladen, 1/4 Tankfüllung, original bereift, ohne Fahrer",5720
Iveco-Magirus,90-16AW,"große Doka, orig. Einbauten, ohne Werkzeug, Einzelbereifung 385/65R22.5 auf Felge 11.75-22.5, mit original Ersatzrad, 130 l Diesel, THW-Koffer leergeräumt",5610
Iveco-Magirus,90-16AW,"große Doka ohne Hinterbänke und Einbauten, etwas Werkzeug, Alubutyl am Doka-Dach, Vorbaupumpe entfernt, Leiterträger entfernt, Einzelbereifung 385/65R22.5, ca. 90 l Diesel, mit Ersatzrad im Lentner-Koffer liegend, Batterien 2x Optima + 1 Natoblock. VA 3160 kg / HA 2480 kg (Raiffeisen geeichte Waage)",5640
Iveco-Magirus,90-16AW,"große Doka, THW-Koffer zur Pritsche runtergebaut",5140
Iveco-Magirus,90-16AW,"große Doka, alles original bis auf den THW-Koffer (abgeflext bis auf Höhe der Bordwände, vordere Kofferwand vorhanden, Pritschenumbau), Tank 1/2 voll, ohne Fahrer, ohne Werkzeug. vo 3150 kg / hi 2140 kg",5300
Iveco-Magirus,90-16AW,"grosse Doka, Radstandsverlängerung um 1200 mm, 3. Lagerung und Containertraversen, Tank 3/4 voll, Schutzbleche von 3-Achser, verstärkte Kardanwelle vom MB in Doka liegend, ohne Koffer/Fahrer aber mit Reserverad",5340
Iveco-Magirus,90-16AW,"DoKa umgebaut auf Fernfahrerkabine, Fahrgestell mit federgelagertem Twistlock-Zwischenrahmen für FM2 (450 kg), 4x 395/85R20 Michelin XZL auf Sprengring, Unterfahrschutz ca. 76 kg",5160
Iveco-Magirus,90-16AW,"gekürzte Doka, Fahrgestell mit federgelagertem Zwischenrahmen für FM2, ausgebauter FM2-Shelter, 4x 385/65R22,5 auf einteiligen Felgen, Unterfahrschutz, 150 l Diesel, ohne Frischwasser",6400
Iveco-Magirus,110-16,Dänischer Funkkoffer,8200
Iveco-Magirus,110-16,Fahrgestell mit Hilfsrahmen und original dänischer 3-Punkt-Lagerung,5580
Iveco-Magirus,110-16AW,nur 3-Punkt-gelagerter Pritschenrahmen,6400
Iveco-Magirus,110-16AW,"ex dän. Militär, 4,2 m Radstand, 13R20, Fahrgestell mit Pritsche (lang/leichte Ausführung ohne Plane) + Winde",7710
Iveco-Magirus,110-16AW,"ex dän. Militär, 4,2 m Radstand, 13R20, Fahrgestell mit Pritsche (lang/leicht ohne Plane) + Winde + org. Ladekran",8600
Iveco-Magirus,110-17AW,Fahrgestell mit Hilfsrahmen,4700
Iveco-Magirus,110-17AW,Fahrgestell mit leerem Wohnkoffer und 13.00 Reifen,6180
Iveco-Magirus,110-17AW,"Fahrgestell mit Hilfsrahmen und leerem Zeppelin-FM3-Koffer, Tank ca. 90 l, mit Fahrer und Reserverad",6520
Iveco-Magirus,110-17AW,"DoKa, 4,6 m Radstand (Ex BW-Fahrschule), Fahrgestell ohne Pritsche mit Original-Hilfsrahmen",5620
Iveco-Magirus,110-17AW,"komplett Original-Pritsche ohne die seitl. Bracken, vollgetankt mit Fahrer",5800
Iveco,EuroCargo 150E320 4x4,"Fahrgestell mit 60 l Diesel und 20 l AdBlue. HA 1800 kg, VA 3700 kg",5530
Iveco,EuroFire FF135E24W 4x4,"Fahrgestell mit 50 l Diesel, Radstand 3910 mm, Einzelbereifung 14.00R20, Rotzler-Treibmatic-Seilwinde",5790
Iveco,EuroFire FF135E22W 4x4,"Fahrgestell mit 150 l Diesel, Radstand 3910 mm, Einzelbereifung Hutchinson-Felge 365/85R20",5900
Magirus,130D 7FA,"DoKa, orig. Koffer (leer) ohne Reserverad auf 9.00R20 einzelbereift",5180
Magirus,130D 9FA,Fahrgestell mit leerem Wohnkoffer (ca.),5300
Magirus,130D 9FA,"Wohnkoffer, fertig für Urlaub (vollgerödelt) mit 300 l Diesel, 200 l Wasser, Holzofen, 2 Personen. Nacktes Fahrgestell lt. Fzs. 4300 kg",7450
Magirus,130D 9FA,Orig. Koffer um- und ausgebaut als Wohnkoffer,6240
Magirus,130D 9,mit Feuerwehrkoffer und Frontpumpe,5900
Magirus,130D 7FA,"DoKa, mit leerem original Feuerwehraufbau, ohne Ersatzrad und ohne Fahrer",5280
Magirus,130D 7FA,"Doka, mit leerem original Feuerwehraufbau, ohne Ersatzrad, ohne Frontpumpe, Tank fast voll, 2 Erwachsene + 1 Kleinkind, ohne Blaulicht, mit 10R22.5",5020
Magirus,120D 10 AL,"4,20er Radstand",3770
Magirus,168M11FAL,"ex dän. Militär, 4,2 m Radstand, 13R20, Planenkoffer + Pritsche, 3-Punkt-Lagerung",8000
Magirus,168M11FAL,"ex dän. Militär, 4,2 m Radstand, 13R20, DK Funkshelter + 3-Punkt-Lagerung",8850
Magirus,168M11FL,"ex BW, 4x2, Pritsche/Rundplane BW + Zubehör BW",5500
Magirus,170D11FA,nacktes Fahrgestell mit kl. Doka und 395/85R20,5700
Magirus,170D11FA,"kleines Fahrerhaus 3-Sitzer, Singlebereifung 12x22,5 und 200 l Diesel im Tank",5340
Magirus,170D11FA RW2,"naktes Fahrgestell mit Winde und Hydrauliktank und 5x Reifen 12R22,5",5300
Magirus,170D11FA RW2,"Winde und Generator mit 16/70R20 Reifen, leer",7430
Magirus,170D11FA,"ex PLF 2000, Radstand 3,29, Einzelkabine",5050
Magirus,170D11FA,"ex THW kurze Doka Bj. 1980, Aufbau gekürzt zu ""offener Pritsche"", Seilwinde, 130 l Diesel, 4 Räder 8,25R20, mit Fahrer",6550
Magirus,170D11FA,"THW kurze Doka aus 1985, Original-Koffer leer, Seilwinde, Reifen 14,5R20",7180
Magirus,170D11FA,"TLF16/25 mit Tank (leer), Pumpe und einer Leiterhalterung, ohne Schlauchhaspel, Koffer leer geräumt, Original-Bereifung, ohne Fahrer, ca. 50 l Diesel",6620
Magirus,170D12 A,nacktes Fahrgestell mit 14.00R20 und Winde,5880
Magirus,170D12 A,"Fahrzeug o. Aufbau, 200 l Kraftstoff, inkl. 1 Person, 8,25R20 Zwillingsbereifung, Winde (Auslieferungszustand, o. Ersatzrad) ca. 5420 kg. Nach Umbau (Räder, Tanks, Isolierung, Federn, Sitze, …) 6200 kg",5420
Magirus,192D11 FA,"4x4-Fahrgestell ohne Pumpe mit Leerkoffer (TK/Pritsche), 8.25er Reifen, 180 l Zusatztank, Kanisterhalterungen, Staukästen und Dachträger (ca.)",6800
Magirus,130M7 FAL,"der mit den Portalachsen, als RW1 mit Aufbau hinten Fa. Voll, vordere Jalousie ausgeräumt, Dachzelt, 12.5R20, Campingklo mit 16 l Frischwasser, voller Tank, 12 kW Stromaggregat mit Lichtmast und 5t-Winde",6040
Magirus,90M6.0F (Magirus-Deutz),"kurze Variante mit Feuerwehraufbau, aber ohne feuerwehrtechnische Beladung, vollgetankt (56 l) und unbesetzt",3500
Magirus,S 7500 Jupiter (Magirus-Deutz),"4,8 m / 5,4 m Radstand, Fahrgestell-Gewicht 4650/4700 kg",4650
Magirus,Saturn 145-L / S 5500 (Magirus-Deutz),Fahrgestell-Gewicht,3740
Magirus,FM170D11FA,"ohne Winde mit 12.00x22,5 Singlebereifung, Reserverad, Hilfsrahmen mit Traversen für FM2-Shelter, ca. 200 l im Tank",5500
Magirus,Mercur 125A10,"als SKW, org. Koffer leer bis auf Mannschaftskabine, Leiter und Reserverad auf dem Dach, vollgetankt, TÜV gewogen",5500
Magirus,Mercur 150D10,"große Doka, nur Fahrgestell ohne Aufbau, Tank halbvoll",4850
MAN,8.136f 2x4,"5 m Fahrgestell, originale 8,5R17,5 Zwillingsbereifung, knapp unter 3 t (mit ""flat"" 3,3 t, 80 l Tank voll, mit Fahrer und Ersatzrad)",2950
MAN,8.150 FAE,"3,1 m, nur Fahrgestell und 100 l Diesel, ziemlich genau",4000
MAN,8.150 FAE,"3,1 m mit Pritsche (ohne Bordwände) und dänischem Koffer leer, mit 5x 365/80R20, selbst gewogen",5480
MAN,8.136 FAE,"3,1 m Radstand, mit 100 l Diesel und leerem US-Shelter",4700
MAN,9.150,"mit Kabine, 2 Ersatzrädern, 200 l Diesel und 300 l Wasser",6400
MAN,9.150 FAE,"Fahrgestell nackt, 3,5 m",4700
MAN,8.150 FAE,"3,1 m inkl. Zwischenrahmen, auf 12,5R20",4700
MAN,8.220 TGL,Doppelkabine mit Feder-Hilfsrahmen,4895
MAN,10.220,"mit längerem Fahrerhaus, Radstand 3260 mm (etwa)",4800
MAN,10.220,"mit langem Fahrerhaus, 3900 mm Radstand, 395/85R20 und 500 l Diesel",5250
MAN,10.220,"kurzes FH, Meiller Kipper, Radstand 2910 mm, AP-Achsen, einzelbereift 335/80/20",5500
MAN,11.168 HA-LF,"mit Tank u. Pumpe, aber ohne sonstige Beladung (TLF-Hütte)",6840
MAN,11.168 HA-LF16,"9-Mann-Kabine, Metz-Aufbau Alu, Zwillingsreifen, Vorbaupumpe",6500
MAN,11.192 HALF,ohne Rüstwagentonne aber mit 20 KVA + hydr. Winde (ca.),5550
MAN,TGM 13.290 BL,"kurzes Fhs, 3950 mm Radstand, Fahrgestell nackt, einfachbereift, 4340 kg; mit Aufbau 540 cm reisefertig 10.500 kg",4340
MAN,TGM 13.290 BB,"mittleres Fahrerhaus, Radstand 3900 mm, Fahrgestell nackt, einfachbereift, Stahlstoßstange etc., 14R20",6654
MAN,TGM 13.290 BB,"mittleres Fahrerhaus, Radstand 4200 mm, 14R20",6306
MAN,14.224 LAK L80,"ohne Kipperaufbau, mit original Zwillingsbereifung",5150
MAN,14.280,"mittellanges Fahrerhaus, Radstand 4200 mm, Rahmenüberhang ab Mitte HA 2400 mm, Zwillingsbereifung (lt. MAN)",5530
MAN,15.216 HAK,"ohne Koffer oder Pritsche, 10R20 Zwilling",4500
MAN,17.232 FAK,"ohne Koffer oder Pritsche, Originalreifen 12R22,5 Zwilling",6100
MAN,TGM 18.320 BB,"mittleres Fahrerhaus, Radstand 4.500, 14.00R20 einzelbereift",6698
MAN,19.361U,"Fernfahrerhaus, Fahrgestell 8700 mm, Radstand 5200 mm, Kran, Pritsche mit Alubordwänden",11800
MAN,19.364 F2000 FAEC,"Fernfahrerhaus, Radstand 4500 mm, mit 4-Punkt-Zwischenrahmen, leere Staukästen und 700 l Diesel",10200
MAN,19.403,"Fernfahrerhaus, Radstand 5500 mm",8400
MAN,KAT 1 / 2-Achser,mit Winde ohne Pritsche,8200
MAN,KAT 1 / 2-Achser,mit Bühne/Bordwände,9300
MAN,KAT 1 / 3-Achser,mit Winde / ohne Pritsche und Staukasten,9500
MAN,KAT 1A1 / 3-Achser,"ohne Winde, nur Fahrgestell",9100
Mercedes,507D (T2),"langer Kastenwagen, Hochdach u. 6 Sitzplätzen (ca.)",3000
Mercedes,508D (T2),"langer Kastenwagen, Hochdach u. 6 Sitzplätzen (ca.)",3150
Mercedes,611D (T2),"4x2, kleines Fahrerhaus mit Alukoffer (4,2 m)",3200
Mercedes,613,Kastenwagen leer,3700
Mercedes,711,"Fensterbus, 4x2, komplett entkernt, ohne Diesel",3500
Mercedes,811D (T2),"4x2 FW LF8 Kabine ohne Aufbau, entkernt, wenig Diesel",3220
Mercedes,814,"6-Zylinder, 4x2 ohne Diffsperre, Fahrgestell mit Pritsche, Radstand 3700 mm, lt. Schein",4090
